LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
8639197710,05/01/2020,405,PPP,REDDING CONSTRUCTION SERVICES INC. DBA PAUL DAVIS OF COASTAL,3518 Ross Road,Savannah,GA,31405,05/27/2021,Paid in Full,24,100,159845.0,159845.0,0.0,Paul Davis Restoration,456756,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,Y,Existing or more than 2 years old,Savannah,CHATHAM,GA,31405-0001,GA-01,11.0,236118.0,Unanswered,Unknown/NotStated,,159845.0,,,,,,Corporation,456756,Cross River Bank,TEANECK,NJ,Male Owned,Unanswered,,161312.07,04/08/2021
7147617105,04/14/2020,931,PPP,"CG FOODS, INC.",201 Broadway Suite 200,CHICO,CA,95928-8419,07/15/2021,Paid in Full,24,100,239462.5,239462.5,0.0,,14935,Savings Bank of Mendocino County,200 N School St,UKIAH,CA,95482-4811,U,N,Y,Existing or more than 2 years old,CHICO,BUTTE,CA,95928-8419,CA-01,31.0,722511.0,Unanswered,Not Hispanic or Latino,,239462.5,,,,,,Corporation,14935,Savings Bank of Mendocino County,UKIAH,CA,Male Owned,Unanswered,,242203.02,06/03/2021
5965687706,05/01/2020,515,PPP,MACHINING &AMP; FABRICATING INC,30546 Groesbeck Hwy,Roseville,MI,48066,05/19/2021,Paid in Full,24,100,179515.0,243472.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,New Business or 2 years or less,Roseville,MACOMB,MI,48066-0001,MI-09,16.0,333515.0,Unanswered,Unknown/NotStated,,233472.0,,,10000.0,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,235602.03,03/31/2021
9717998504,03/12/2021,202,PPS,48-11 VERNON BLVD. REST. INC.,4811 Vernon Blvd,Long Island City,NY,11101-5585,10/21/2021,Paid in Full,60,100,198439.0,198439.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,Long Island City,QUEENS,NY,11101-5585,NY-12,29.0,722513.0,Asian,Hispanic or Latino,,198438.0,,,,,,Corporation,48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Female Owned,Non-Veteran,,199422.16,09/15/2021
5322657105,04/13/2020,303,PPP,"EAGLE ELECTRICAL GROUP, INC.",2941 Coventryville Road,POTTSTOWN,PA,19465-8526,08/20/2021,Paid in Full,24,100,254700.0,254700.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,N,N,Existing or more than 2 years old,POTTSTOWN,CHESTER,PA,19465-8526,PA-06,8.0,541330.0,White,Not Hispanic or Latino,,254700.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Male Owned,Non-Veteran,,257902.94,08/02/2021
5132288608,03/20/2021,679,PPS,FRAMEWORKS FOR CHILDREN INC.,7424 Highland Rd,Baton Rouge,LA,70808-6611,10/13/2021,Paid in Full,60,100,156295.0,156295.0,0.0,,2408,Regions Bank,1900 Fifth Avenue North,BIRMINGHAM,AL,35203,U,Y,N,Existing or more than 2 years old,Baton Rouge,EAST BATON ROUGE,LA,70808-6611,LA-06,58.0,611699.0,American Indian or Alaska Native,Not Hispanic or Latino,1.0,156292.0,,,,,,Corporation,2408,Regions Bank,BIRMINGHAM,AL,Female Owned,Non-Veteran,,157048.64,09/16/2021
1212678707,03/26/2021,811,PPS,PERRY & CO,101 S Madison St,Denver,CO,80209-3003,03/05/2022,Paid in Full,60,100,160174.0,160174.0,0.0,Corcoran®,444645,Citywide Banks,"1800 Larimer St, Ste 100",DENVER,CO,80202-1404,U,N,N,Existing or more than 2 years old,Denver,DENVER,CO,80209-3003,CO-01,13.0,531210.0,Unanswered,Unknown/NotStated,,160174.0,,,,,,Corporation,444645,Citywide Banks,DENVER,CO,Unanswered,Unanswered,,161617.76,02/23/2022
6622287010,04/07/2020,455,PPP,CRAFT CONSTRUCTION COMPANY LLC,480 SOUTH ANDREWS AVENUE,POMPANO BEACH,FL,33069-3538,02/24/2022,Paid in Full,24,100,516100.0,516100.0,0.0,,458637,Professional Bank,"396 Alhambra Circle, Ste 255",CORAL GABLES,FL,33134-5022,U,Y,Y,Existing or more than 2 years old,POMPANO BEACH,BROWARD,FL,33069-3538,FL-20,52.0,236220.0,Unanswered,Unknown/NotStated,,516100.0,,,,,,Limited  Liability Company(LLC),458637,Professional Bank,CORAL GABLES,FL,Unanswered,Unanswered,,521045.96,03/26/2021
5205278400,02/08/2021,515,PPS,FREEDOM WINGS INC,1161 Shady Shores Dr,Niles,MI,49120-9520,12/09/2021,Paid in Full,24,100,263200.0,263200.0,0.0,Wings Etc.,24195,1st Source Bank,100 N Michigan St,SOUTH BEND,IN,46601-1630,R,N,N,Existing or more than 2 years old,Niles,CASS,MI,49120-9520,MI-06,30.0,722511.0,Unanswered,Unknown/NotStated,1.0,263198.0,,,,,,Subchapter S Corporation,24195,1st Source Bank,SOUTH BEND,IN,Male Owned,Non-Veteran,,265261.73,11/19/2021
9584058401,02/17/2021,373,PPS,WOODHOLME COUNTRY CLUB,300 Woodholme Ave,Pikesville,MD,21208-1410,05/05/2022,Paid in Full,60,100,695000.0,695000.0,0.0,,30357,The Harbor Bank of Maryland,25 W Fayette St,BALTIMORE,MD,21201-3702,U,N,N,Existing or more than 2 years old,Pikesville,BALTIMORE,MD,21208-1410,MD-03,86.0,713910.0,Unanswered,Unknown/NotStated,1.0,694995.0,,,,,,Corporation,30357,The Harbor Bank of Maryland,BALTIMORE,MD,Unanswered,Unanswered,,703050.42,04/20/2022
3967857202,04/27/2020,507,PPP,THE MOULIS CORPORATION,400 E. GRAND AVENUE,FOX LAKE,IL,60020-1605,12/08/2020,Paid in Full,24,100,395401.57,395401.57,0.0,,88018,McHenry Savings Bank,353 Bank Dr,MCHENRY,IL,60050-0506,U,N,Y,Existing or more than 2 years old,FOX LAKE,LAKE,IL,60020-1605,IL-10,32.0,441222.0,Unanswered,Unknown/NotStated,,395401.57,,,,,,Corporation,88018,McHenry Savings Bank,MCHENRY,IL,Unanswered,Unanswered,,397568.15,11/23/2020
1767038903,04/26/2021,951,PPS,DAWSON FEDERAL INC,900 Fort Street Mall Ste 1850,Honolulu,HI,96813-3707,01/15/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,112343,"American Savings Bank, FSB",300 N Beretania St,HONOLULU,HI,96813-3429,U,N,Y,Existing or more than 2 years old,Honolulu,HONOLULU,HI,96813-3707,HI-01,219.0,237130.0,Unanswered,Unknown/NotStated,,2000000.0,,,,,,Corporation,112343,"American Savings Bank, FSB",HONOLULU,HI,Unanswered,Unanswered,,2012547.95,12/14/2021
5258118500,02/27/2021,914,PPS,"CLASSIC COSMETICS, INC.",9530 De Soto Ave,Chatsworth,CA,91311-5010,01/19/2022,Paid in Full,60,100,1281400.0,1281400.0,0.0,,49274,"Citibank, N.A.",5800 S Corporate Place,SIOUX FALLS,SD,57108,U,N,N,Existing or more than 2 years old,Chatsworth,LOS ANGELES,CA,91311-5010,CA-25,99.0,325620.0,White,Unknown/NotStated,1.0,1281394.0,,,,,,Corporation,49274,"Citibank, N.A.",SIOUX FALLS,SD,Male Owned,Non-Veteran,,1291259.66,12/09/2021
6654449007,05/23/2021,914,PPS,SUPERIOR ROMAN SHADES,7683 N San Fernando Rd,Burbank,CA,91505-1073,12/16/2021,Paid in Full,60,100,604215.0,335381.0,0.0,,538160,"Lendistry SBLC, LLC",777 South Alameda Street 2nd Floor,Los Angeles,CA,90021,U,Y,N,Existing or more than 2 years old,Burbank,LOS ANGELES,CA,91505-1073,CA-28,29.0,337920.0,Unanswered,Hispanic or Latino,,335381.0,,,,,,Corporation,514546,"BSD Capital, LLC dba Lendistry",Brea,CA,Male Owned,Non-Veteran,,336851.16,11/24/2021
4073907101,04/12/2020,303,PPP,FR. MEYER'S SOHN NORTH AMERICA,5 Commerce Drive,Reading,PA,19607-9712,01/09/2021,Paid in Full,24,100,1231300.0,1231300.0,0.0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Unanswered,Reading,BERKS,PA,19607-9712,PA-06,86.0,488510.0,Unanswered,Unknown/NotStated,,1231300.0,,,,,,Limited  Liability Company(LLC),44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,1239440.26,12/09/2020
3995217206,04/27/2020,942,PPP,AIROSA DAIRY,11275 Road 96,PIXLEY,CA,93256-9744,07/09/2021,Paid in Full,24,100,386500.0,386500.0,0.0,,528989,"Farm Credit West, PCA",PO Box 1208,Hanford,CA,93232,U,Y,Y,Existing or more than 2 years old,Pixley,TULARE,CA,93256-0001,CA-21,40.0,112120.0,Unanswered,Unknown/NotStated,,386500.0,,,,,,Partnership,528989,"Farm Credit West, PCA",Hanford,CA,Unanswered,Unanswered,,390746.21,06/10/2021
8292728307,01/29/2021,165,PPS,KEEL PARTNERS LLC,321 S Main St Ste 400,Providence,RI,02903-7109,,Exemption 4,60,100,173180.0,173180.0,0.0,,33263,Rockland Trust Company,288 Union St,ROCKLAND,MA,02370-1803,U,Y,N,Existing or more than 2 years old,Providence,PROVIDENCE,RI,02903-7109,RI-01,11.0,312130.0,Unanswered,Unknown/NotStated,1.0,173175.0,,,,,,Limited  Liability Company(LLC),33263,Rockland Trust Company,ROCKLAND,MA,Unanswered,Unanswered,,,
7374998306,01/28/2021,202,PPS,MOHAWKCAMPCO LLC,200 Old Tarrytown Rd,White Plains,NY,10603-2823,05/06/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,32766,Easthampton Savings Bank,36 Main St,EASTHAMPTON,MA,01027-2050,U,N,N,Existing or more than 2 years old,White Plains,WESTCHESTER,NY,10603-2823,NY-17,109.0,721214.0,Unanswered,Unknown/NotStated,1.0,1999997.0,,,,,,Limited  Liability Company(LLC),32766,Easthampton Savings Bank,EASTHAMPTON,MA,Unanswered,Unanswered,,2024164.38,04/25/2022
5847148507,03/02/2021,156,PPP,CEDAR WASHINGTON ASSOCIATES LLC,333 Ludlow St-South Tower-3rd floor,Stamford,CT,06902,06/04/2022,Paid in Full,60,100,1204107.0,1204107.0,0.0,,46391,Manufacturers and Traders Trust Company,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,U,N,Y,Existing or more than 2 years old,Stamford,FAIRFIELD,CT,06902,CT-04,287.0,721110.0,Unanswered,Unknown/NotStated,1.0,1204102.0,,,,,,Limited  Liability Company(LLC),46391,Manufacturers and Traders Trust Company,BUFFALO,NY,Unanswered,Unanswered,,984690.9,02/17/2022
9180067009,04/09/2020,515,PPP,BLUE WATER IMPORTERS INC,2441 E BRISTOL RD,BURTON,MI,48529-1304,05/12/2021,Paid in Full,24,100,224107.0,224107.0,0.0,,34774,The State Bank,101 N Leroy St,FENTON,MI,48430-3804,U,Y,N,Existing or more than 2 years old,BURTON,GENESEE,MI,48529-1304,MI-05,17.0,423110.0,Unanswered,Unknown/NotStated,,224107.0,,,,,,Corporation,34774,The State Bank,FENTON,MI,Unanswered,Unanswered,,226200.71,03/29/2021
4907157000,04/04/2020,508,PPP,NEXTEK LLC,4105 LEXINGTON AVE,SAINT PAUL,MN,55126-6110,07/09/2021,Paid in Full,24,100,503300.0,503300.0,0.0,,38359,Premier Bank,2866 White Bear Ave,MAPLEWOOD,MN,55109-1301,U,N,N,New Business or 2 years or less,SAINT PAUL,RAMSEY,MN,55126-6110,MN-04,38.0,541511.0,Unanswered,Not Hispanic or Latino,,503300.0,,,,,,Corporation,38359,Premier Bank,MAPLEWOOD,MN,Female Owned,Non-Veteran,,509465.43,06/30/2021
4804607110,04/13/2020,515,PPP,TRIPLE R TRUCKING INC,6050 MELBOURNE RD,SAGINAW,MI,48604-9201,06/10/2021,Paid in Full,24,100,628400.0,628400.0,0.0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,R,N,N,Existing or more than 2 years old,SAGINAW,SAGINAW,MI,48604-9201,MI-05,40.0,484110.0,Unanswered,Unknown/NotStated,,628400.0,,,,,,Subchapter S Corporation,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,634998.2,05/04/2021
9667477005,04/09/2020,101,PPP,NEW ENGLAND LAND SURVEY INC,710 Main St,NORTH OXFORD,MA,01537-1141,09/16/2021,Paid in Full,24,100,240076.92,240076.92,0.0,,98381,Leominster CU,20 Adams St,LEOMINSTER,MA,01453-5668,U,N,N,Unanswered,NORTH OXFORD,WORCESTER,MA,01537-1141,MA-02,25.0,541360.0,White,Not Hispanic or Latino,,240076.92,,,,,,Corporation,98381,Leominster CU,LEOMINSTER,MA,Male Owned,Non-Veteran,,243151.24,07/30/2021
7075278509,03/05/2021,460,PPS,KEAREY BUILDERS INC.,2915 Charlotte Hwy,Mooresville,NC,28117-8052,,Exemption 4,60,100,324620.0,324620.0,0.0,,225134,Truist Bank,214 N Tryon St,CHARLOTTE,NC,28202-1078,R,N,N,Existing or more than 2 years old,Mooresville,IREDELL,NC,28117-8052,NC-10,17.0,236220.0,Unanswered,Unknown/NotStated,1.0,324615.0,,,,,,Corporation,225134,Truist Bank,CHARLOTTE,NC,Unanswered,Unanswered,,,
9995738409,02/18/2021,944,PPS,NATALIES EAT LLC,707 E Carson Ave,Las Vegas,NV,89101-5528,02/19/2022,Paid in Full,60,100,200364.0,200364.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Y,Existing or more than 2 years old,Las Vegas,CLARK,NV,89101-5528,NV-01,39.0,722511.0,Unanswered,Unknown/NotStated,,200362.0,,,,,,Limited  Liability Company(LLC),48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Unanswered,Unanswered,,202109.39,01/06/2022
7754187207,04/28/2020,508,PPP,PORK STORKS MIDWEST SEMEN CENTER INC,314 S. 3RD ST,SAINT PETER,MN,56082-2023,12/05/2020,Paid in Full,24,100,214800.0,214800.0,0.0,,88597,HomeTown Bank,1000 E Cook St,REDWOOD FALLS,MN,56283-1941,U,Y,N,Existing or more than 2 years old,SAINT PETER,NICOLLET,MN,56082-2023,MN-01,19.0,115210.0,Unanswered,Unknown/NotStated,,214800.0,,,,,,Subchapter S Corporation,88597,HomeTown Bank,REDWOOD FALLS,MN,Unanswered,Unanswered,,215963.5,11/20/2020
7650117007,04/07/2020,610,PPP,RMP INDUSTRIAL SUPPLY INC,3209 STUART DR,FORT WORTH,TX,76110-4321,12/18/2020,Paid in Full,24,100,211147.0,211147.0,0.0,,72026,Southside Bank,1201 S Beckham Ave,TYLER,TX,75701-3320,U,Y,Y,Existing or more than 2 years old,FORT WORTH,TARRANT,TX,76110-4321,TX-33,16.0,423840.0,Unanswered,Unknown/NotStated,,211147.0,,,,,,Corporation,72026,Southside Bank,TYLER,TX,Male Owned,Unanswered,,212413.88,11/13/2020
8714927106,04/15/2020,681,PPP,JOHN SYTSMA,13838 Southton Rd,SAN ANTONIO,TX,78223-5405,05/26/2021,Paid in Full,24,100,397720.0,397720.0,0.0,,70026,"SouthTrust Bank, National Association",601 Guadalupe St,GEORGE WEST,TX,78022,U,N,N,Existing or more than 2 years old,SAN ANTONIO,BEXAR,TX,78223-5405,TX-23,30.0,453930.0,Unanswered,Unknown/NotStated,,397720.0,,,,,,Sole Proprietorship,70026,"SouthTrust Bank, National Association",GEORGE WEST,TX,Male Owned,Unanswered,,401893.34,05/12/2021
2277858501,02/20/2021,299,PPS,TLJ RECYCLING & CONTAINER SERVICES L.L.C,821 Market Ave Null,Deptford,NJ,08096-4745,12/14/2021,Paid in Full,60,100,171856.0,171856.0,0.0,,60701,"Fulton Bank, National Association",One Penn Sq,LANCASTER,PA,17602-2853,U,N,N,Existing or more than 2 years old,Deptford,GLOUCESTER,NJ,08096-4745,NJ-01,18.0,561990.0,Unanswered,Not Hispanic or Latino,,171856.0,,,,,,Limited  Liability Company(LLC),60701,"Fulton Bank, National Association",LANCASTER,PA,Male Owned,Non-Veteran,,173108.43,11/16/2021
5649567104,04/13/2020,474,PPP,"JAMESTOWN ENTERPRISES, LLC",4501 N Main,Jamestown,TN,38556-1158,07/14/2021,Paid in Full,24,100,182000.0,182000.0,0.0,,2408,Regions Bank,1900 Fifth Avenue North,BIRMINGHAM,AL,35203,R,N,Y,Existing or more than 2 years old,Jamestown,FENTRESS,TN,38556-1158,TN-06,67.0,722513.0,Unanswered,Unknown/NotStated,,182000.0,,,,,,Partnership,2408,Regions Bank,BIRMINGHAM,AL,Unanswered,Unanswered,,184019.45,06/04/2021
4201607307,04/29/2020,455,PPP,"TALK TIME, INC.",9061 US HWY 19,PORT RICHEY,FL,34668,02/10/2021,Paid in Full,24,100,425000.0,425000.0,0.0,,2408,Regions Bank,1900 Fifth Avenue North,BIRMINGHAM,AL,35203,U,N,Y,Existing or more than 2 years old,PORT RICHEY,PASCO,FL,34668-0001,FL-12,92.0,443142.0,American Indian or Alaska Native,Hispanic or Latino,,425000.0,,,,,,Corporation,2408,Regions Bank,BIRMINGHAM,AL,Unanswered,Unanswered,,428108.9,01/27/2021
3773637404,05/08/2020,1094,PPP,FAIRWAY FLOOR,4149 EAST 16TH AVENUE,POST FALLS,ID,83854,09/23/2021,Paid in Full,24,100,176647.0,176647.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,Existing or more than 2 years old,POST FALLS,KOOTENAI,ID,83854-0001,ID-01,10.0,238330.0,Unanswered,Unknown/NotStated,,176647.0,,,,,,Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,178834.52,08/09/2021
2678027210,04/16/2020,165,PPP,ENVIRONMENTAL CONSULTING AND MANAGEMENT INC.,50 Kickemuit Avenue,Bristol,RI,02809,05/19/2021,Paid in Full,24,100,164700.0,164700.0,0.0,,434162,"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,02903-1344,U,N,N,Existing or more than 2 years old,Bristol,BRISTOL,RI,02809-0001,RI-01,12.0,541620.0,White,Unknown/NotStated,,164700.0,,,,,,Subchapter S Corporation,434162,"Citizens Bank, National Association",PROVIDENCE,RI,Female Owned,Unanswered,,166315.41,04/23/2021
6539577002,04/07/2020,299,PPP,"MIDDLESEX WELDING SALES CO., INC",2843 US HIGHWAY 1,NORTH BRUNSWICK,NJ,08902-4309,12/10/2020,Paid in Full,24,100,214200.0,214200.0,0.0,,87737,Magyar Bank,400 Somerset St,NEW BRUNSWICK,NJ,08901-3265,U,N,N,Existing or more than 2 years old,NORTH BRUNSWICK,MIDDLESEX,NJ,08902-4309,NJ-12,23.0,333992.0,Unanswered,Unknown/NotStated,,214200.0,,,,,,Corporation,87737,Magyar Bank,NEW BRUNSWICK,NJ,Unanswered,Unanswered,,215467.35,11/27/2020
7110107101,04/14/2020,549,PPP,SYNDICATE B LLC,1545 HOLLAND RD. SUITE F,MAUMEE,OH,43537,04/21/2021,Paid in Full,24,100,407192.5,407192.5,0.0,,58036,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263,U,N,N,Existing or more than 2 years old,MAUMEE,LUCAS,OH,43537-0001,OH-05,33.0,722511.0,Asian,Not Hispanic or Latino,,407192.5,,,,,,Limited  Liability Company(LLC),58036,Fifth Third Bank,CINCINNATI,OH,Male Owned,Non-Veteran,,399752.18,12/09/2020
1580107109,04/10/2020,515,PPP,"ROCHESTER #3, LLC",101 W. AUBURN RD,ROCHESTER HILLS,MI,48307-5002,03/17/2021,Paid in Full,24,100,152400.0,152400.0,0.0,McDonalds,449988,"Waterford Bank, National Association",3900 N McCord Rd,TOLEDO,OH,43617-1049,U,N,N,Existing or more than 2 years old,ROCHESTER HILLS,OAKLAND,MI,48307-5002,MI-08,34.0,722513.0,Unanswered,Unknown/NotStated,12048.0,88648.0,,51704.0,,,,Limited  Liability Company(LLC),449988,"Waterford Bank, National Association",TOLEDO,OH,Unanswered,Unanswered,,153657.3,02/09/2021
